City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Lander,US,78.8,clear sky,42.83,-108.73,Holiday Inn Express & Suites Lander
4,Komsomolskiy,UZ,80.6,clear sky,40.43,71.72,Ikathouse
8,Alofi,NU,71.6,light rain,-19.06,-169.92,Taloa Heights
9,Bonavista,CA,70.97,few clouds,48.65,-53.11,Abbott's Bed & Breakfast
12,Laohekou,CN,81.27,overcast clouds,32.39,111.67,Laohekou Hotel
14,Fare,PF,78.49,broken clouds,-16.7,-151.02,Maitai Lapita Village Huahine
18,Birin,NP,82.4,broken clouds,26.89,88.07,HOTEL SURYODAYA
19,Dwarka,IN,83.21,overcast clouds,22.24,68.97,Hotel Narayan Avezika Comfort
21,Xuddur,SO,78.91,scattered clouds,4.12,43.89,Banjanay Hotel
23,Georgetown,MY,82.4,few clouds,5.41,100.34,Cititel Penang
27,Odienne,CI,71.62,overcast clouds,9.51,-7.57,Oustaz Vame DIAKITE
30,Najran,SA,86.0,scattered clouds,17.49,44.13,محمد هادي ال فطيح
33,Popondetta,PG,72.21,broken clouds,-8.75,148.25,Timos Transit House
34,Butaritari,KI,83.52,broken clouds,3.07,172.79,Isles Sunset Lodge
36,Yellowknife,CA,70.0,broken clouds,62.46,-114.35,The Explorer Hotel
37,Basco,PH,84.6,light rain,20.45,121.97,Nathaniel's Lodge
38,Hilo,US,75.2,overcast clouds,19.73,-155.09,Hilo Hawaiian Hotel
40,Surt,LY,80.35,clear sky,31.21,16.59,City Hotel
44,Vaitape,PF,79.05,light rain,-16.52,-151.75,Conrad Bora Bora Nui
47,Puerto Ayora,EC,75.2,scattered clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
51,Bull Savanna,JM,85.8,clear sky,17.89,-77.59,Big Red's
52,Slavuta,UA,71.65,broken clouds,50.3,26.87,Slavutchanka
55,Iguape,BR,70.68,clear sky,-24.71,-47.56,Hotel Pousada Nossa Senhora do Carmo
59,Makakilo City,US,78.8,overcast clouds,21.35,-158.09,Marriott's Ko Olina Beach Club
60,Olinda,BR,82.4,broken clouds,-8.01,-34.86,Hotel 5 Sóis
61,Galesong,ID,75.2,few clouds,-5.32,119.37,Sapriadi Appy
62,Jamestown,US,72.0,clear sky,42.1,-79.24,Hampton Inn & Suites Jamestown
68,Newport,GB,73.99,light rain,51.59,-3.0,ibis budget Newport
69,Kikwit,CD,86.09,broken clouds,-5.04,18.82,Centre D'Accueil Protestant
70,Virginia Beach,US,90.0,broken clouds,36.85,-75.98,Hilton Virginia Beach Oceanfront
73,Avarua,CK,71.6,heavy intensity rain,-21.21,-159.78,Paradise Inn
74,Korla,CN,86.22,scattered clouds,41.76,86.15,Gulisitan Hotel
75,Maceio,BR,80.6,few clouds,-9.67,-35.74,Mercure Maceio Pajucara Hotel
80,Benguela,AO,71.6,scattered clouds,-12.58,13.41,Hotel Praia Morena
81,Joao Pinheiro,BR,78.62,clear sky,-17.74,-46.17,Hotel Santos
88,North Branch,US,77.0,few clouds,45.51,-92.98,AmericInn by Wyndham North Branch
92,Faanui,PF,78.22,scattered clouds,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
93,Schkeuditz,DE,84.99,clear sky,51.4,12.22,Globana Airport Hotel
94,Muisne,EC,80.6,overcast clouds,0.6,-80.03,Quinta Samay
96,Meadow Lake,US,89.01,few clouds,34.8,-106.54,JKL Inc. R.V Park and Storage
97,Ribeira Grande,PT,77.0,few clouds,38.52,-28.7,Quinta da Meia Eira
98,Maple Creek,CA,88.11,broken clouds,49.92,-109.48,Willowbend Campground & Cabins
102,Bengkulu,ID,77.92,overcast clouds,-3.8,102.27,Grage Hotel Bengkulu
103,Sao Joao Da Barra,BR,77.0,few clouds,-21.64,-41.05,Pousada Porto De Canoas
104,Atuona,PF,78.67,clear sky,-9.8,-139.03,Villa Enata
105,Shu,KZ,85.39,clear sky,43.6,73.76,Shyngyzkhan
106,Benjamin Constant,BR,78.8,broken clouds,-4.38,-70.03,CASA AVALIADA
107,Waingapu,ID,70.65,clear sky,-9.66,120.26,Pondok Wisata Elim
111,Lorengau,PG,79.43,overcast clouds,-2.02,147.27,Lorengau Harbourside Hotel
112,Rio Grande,BR,87.8,scattered clouds,-32.03,-52.1,Swan Express Rio Grande
116,Lewistown,US,82.0,clear sky,40.6,-77.57,Quality Inn & Suites
119,Guilin,CN,78.8,light rain,25.28,110.29,Grand 0773 Hotel
120,Phan Thiet,VN,76.37,light rain,10.93,108.1,Hotel Saigon-PT
123,Biak,ID,75.74,broken clouds,-0.91,122.88,Kost Ariz
124,Vila Franca Do Campo,PT,73.4,few clouds,37.72,-25.43,Pestana Bahia Praia
127,Pochutla,MX,87.01,overcast clouds,15.74,-96.47,Hotel Posada San Jose
128,Kirksville,US,77.0,broken clouds,40.19,-92.58,Budget Host-Village Inn
132,Arraial Do Cabo,BR,80.6,clear sky,-22.97,-42.03,Pousada Porto Praia
135,Kapaa,US,78.8,overcast clouds,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
138,Ajdabiya,LY,84.7,clear sky,30.76,20.23,فندق التوجان
142,Smiltene,LV,71.01,broken clouds,57.42,25.9,Kalna Ligzda
144,Malanje,AO,74.1,broken clouds,-9.54,16.34,Malanje Hotel
145,Alice Town,BS,84.31,light rain,25.72,-79.3,Bimini Big Game Club Resort & Marina
147,Yining,CN,78.33,overcast clouds,29.04,114.56,Xiushui Hotel
149,Hamilton,US,81.0,broken clouds,39.18,-84.53,Six Acres Bed & Breakfast
151,Lata,PT,88.0,clear sky,40.16,-8.33,Casa Maquia
153,Tshikapa,CD,81.0,broken clouds,-6.42,20.8,Hôtel Tshia-Muntu de Tshikapa
156,Pilar,BR,80.6,few clouds,-9.6,-35.96,Pousada e churrascaria Manguaba
157,Daru,PG,76.96,overcast clouds,-9.08,143.21,New century hotel
161,Damavand,IR,80.6,few clouds,35.72,52.06,آپارتمان زمانیان
166,Phuket,TH,86.0,light rain,8.0,98.25,The Surin Phuket
170,Natchitoches,US,87.8,clear sky,31.77,-93.13,Super 8 by Wyndham Natchitoches
171,Tautira,PF,73.4,scattered clouds,-17.73,-149.15,Pension Oaoa
174,Montepulciano,IT,80.01,clear sky,43.1,11.79,Hotel Panoramic Montepulciano
175,Bethel,US,78.01,scattered clouds,41.37,-73.41,Courtyard by Marriott Danbury
177,Kahului,US,78.8,scattered clouds,20.89,-156.47,Maui Seaside Hotel
179,Guiyang,CN,73.4,broken clouds,26.58,106.72,Guo Tai Hotel Guiyang
181,Padang,ID,78.31,overcast clouds,-0.95,100.35,Mercure Padang
182,Alugan,PH,78.87,overcast clouds,12.22,125.48,BEMBEM RAIN FEED RESORT
190,Castro,BR,72.9,clear sky,-24.79,-50.01,CHACARA BAILLY
191,Kotelnikovo,RU,83.82,scattered clouds,47.63,43.15,7 Kings
192,Hithadhoo,MV,83.34,broken clouds,-0.6,73.08,Scoop Guest House
193,Puerto El Triunfo,SV,86.0,scattered clouds,13.28,-88.55,Hotel Jardin
196,The Valley,AI,87.8,scattered clouds,18.22,-63.06,CeBlue Villas & Beach Resort
199,Shache,CN,76.35,clear sky,38.42,77.24,Delong Hotel
201,Itoman,JP,84.2,few clouds,26.12,127.67,Southern Beach Hotel & Resort Okinawa
205,Hasaki,JP,77.0,scattered clouds,35.73,140.83,Inubosaki Kanko Hotel
208,Kavieng,PG,81.99,light rain,-2.57,150.8,Nusa Island Retreat
213,Palmerston,AU,70.0,overcast clouds,-12.49,130.98,Quest Palmerston - Serviced Apartments and Accommodation
224,Gediz,TR,77.7,clear sky,39.04,29.41,Bilginler Kız Öğrenci Yurdu
226,Ponta Do Sol,PT,73.4,broken clouds,32.67,-17.1,Hotel do Campo
228,Thompson,CA,82.4,clear sky,55.74,-97.86,Burntwood Hotel
230,Sao Filipe,CV,79.45,broken clouds,14.9,-24.5,Tortuga B&B
231,Rosarito,MX,73.0,clear sky,32.33,-117.03,Hotel Festival Plaza Rosarito
235,Lahad Datu,MY,77.76,light rain,5.03,118.33,The 27th House
242,Plaridel,PH,79.0,light rain,14.89,120.86,St. Agatha Resort
