City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
0,Busselton,-33.65,115.33,45.0,68,21,10.6,AU,few clouds
1,Lander,42.83,-108.73,78.8,36,1,6.35,US,clear sky
2,Bluff,-46.6,168.33,47.79,90,81,6.62,NZ,light rain
3,Dikson,73.51,80.55,47.64,100,100,14.58,RU,light rain
4,Komsomolskiy,40.43,71.72,80.6,47,0,2.24,UZ,clear sky
5,Sambava,-14.27,50.17,69.04,75,21,11.65,MG,few clouds
6,Barrow,71.29,-156.79,41.0,93,90,12.75,US,light rain
7,Port Alfred,-33.59,26.89,56.07,76,6,18.16,ZA,light rain
8,Alofi,-19.06,-169.92,71.6,100,2,1.12,NU,light rain
9,Bonavista,48.65,-53.11,70.97,74,18,17.72,CA,few clouds
10,Tuatapere,-46.13,167.68,44.58,86,96,3.18,NZ,light rain
11,Saint-Philippe,-21.36,55.77,69.8,77,75,5.82,RE,broken clouds
12,Laohekou,32.39,111.67,81.27,88,85,1.81,CN,overcast clouds
13,Qaanaaq,77.48,-69.36,39.99,67,0,2.86,GL,clear sky
14,Fare,-16.7,-151.02,78.49,78,64,16.87,PF,broken clouds
15,Finnsnes,69.23,17.98,62.6,67,75,9.17,NO,light rain
16,New Norfolk,-42.78,147.06,34.0,80,1,2.06,AU,clear sky
17,Mordovo,52.08,40.77,69.49,69,54,8.43,RU,broken clouds
18,Birin,26.89,88.07,82.4,88,75,2.24,NP,broken clouds
19,Dwarka,22.24,68.97,83.21,86,100,17.25,IN,overcast clouds
20,Ostrovnoy,68.05,39.51,53.4,82,95,4.94,RU,overcast clouds
21,Xuddur,4.12,43.89,78.91,55,42,19.39,SO,scattered clouds
22,Nikolskoye,59.7,30.79,66.99,72,75,2.04,RU,broken clouds
23,Georgetown,5.41,100.34,82.4,88,20,2.24,MY,few clouds
24,Bambous Virieux,-20.34,57.76,68.0,64,75,12.75,MU,shower rain
25,Nome,64.5,-165.41,51.8,81,90,9.17,US,light rain
26,Ushuaia,-54.8,-68.3,39.2,69,75,17.22,AR,broken clouds
27,Odienne,9.51,-7.57,71.62,87,92,4.81,CI,overcast clouds
28,Rikitea,-23.12,-134.97,68.85,78,99,19.53,PF,overcast clouds
29,Panaba,21.28,-88.27,92.41,56,0,8.86,MX,light rain
30,Najran,17.49,44.13,86.0,45,40,18.34,SA,scattered clouds
31,Vardo,70.37,31.11,50.0,93,20,9.17,NO,few clouds
32,Carnarvon,-24.87,113.63,53.6,76,8,8.05,AU,clear sky
33,Popondetta,-8.75,148.25,72.21,93,84,2.82,PG,broken clouds
34,Butaritari,3.07,172.79,83.52,72,73,20.6,KI,broken clouds
35,Chernyshevskiy,63.01,112.47,55.85,75,0,3.6,RU,clear sky
36,Yellowknife,62.46,-114.35,70.0,72,75,4.7,CA,broken clouds
37,Basco,20.45,121.97,84.6,79,46,15.41,PH,light rain
38,Hilo,19.73,-155.09,75.2,88,90,1.28,US,overcast clouds
39,Kaduy,59.2,37.15,60.8,87,7,3.56,RU,clear sky
40,Surt,31.21,16.59,80.35,70,0,17.05,LY,clear sky
41,Achit,56.8,57.9,65.89,87,0,3.29,RU,clear sky
42,Ancud,-41.87,-73.82,52.0,93,90,13.87,CL,overcast clouds
43,Clyde River,70.47,-68.59,44.6,70,75,21.92,CA,broken clouds
44,Vaitape,-16.52,-151.75,79.05,77,29,17.87,PF,light rain
45,Le Port,-20.94,55.29,69.8,56,90,10.29,RE,overcast clouds
46,Longyearbyen,78.22,15.64,53.6,76,72,5.82,SJ,broken clouds
