City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Iquique,CL,2020-08-05 17:48:09,-20.22,-70.14,62.6,63,8,12.75
1,Clyde River,CA,2020-08-05 17:48:09,70.47,-68.59,42.8,75,75,12.75
2,Kodiak,US,2020-08-05 17:48:09,57.79,-152.41,57.2,76,1,5.82
3,Vaini,TO,2020-08-05 17:48:09,-21.2,-175.2,57.2,100,20,6.33
4,Ushuaia,AR,2020-08-05 17:48:10,-54.8,-68.3,44.6,52,75,4.7
5,Jamestown,US,2020-08-05 17:43:14,42.1,-79.24,70.0,68,90,8.05
6,Thompson,CA,2020-08-05 17:46:18,55.74,-97.86,77.0,65,75,6.93
7,Punta Arenas,CL,2020-08-05 17:46:41,-53.15,-70.92,37.4,86,90,13.87
8,Severo-Kurilsk,RU,2020-08-05 17:48:10,50.68,156.12,50.76,92,100,10.71
9,Nieuw Amsterdam,SR,2020-08-05 17:48:10,5.88,-55.08,87.8,62,40,5.82
10,Uvinza,TZ,2020-08-05 17:48:10,-5.1,30.39,70.92,52,33,4.63
11,Vila Velha,BR,2020-08-05 17:43:46,-20.33,-40.29,73.99,64,75,14.99
12,Isangel,VU,2020-08-05 17:48:10,-19.55,169.27,67.1,72,1,4.99
13,Busselton,AU,2020-08-05 17:48:10,-33.65,115.33,48.99,81,8,7.65
14,Khatanga,RU,2020-08-05 17:48:10,71.97,102.5,56.34,93,99,11.01
15,Naze,JP,2020-08-05 17:46:54,28.37,129.48,80.6,88,20,3.36
16,Rikitea,PF,2020-08-05 17:48:11,-23.12,-134.97,70.77,82,100,10.94
17,Mataura,NZ,2020-08-05 17:48:11,-46.19,168.86,39.99,97,99,3.0
18,Linjiang,CN,2020-08-05 17:48:11,41.81,126.91,67.32,89,100,2.46
19,Srednekolymsk,RU,2020-08-05 17:47:19,67.45,153.68,48.15,76,2,4.45
20,Bredasdorp,ZA,2020-08-05 17:48:11,-34.53,20.04,48.2,81,64,4.7
21,Ancud,CL,2020-08-05 17:48:11,-41.87,-73.82,50.0,75,20,4.7
22,Cabo San Lucas,MX,2020-08-05 17:46:28,22.89,-109.91,95.0,52,5,9.17
23,Albany,US,2020-08-05 17:48:11,42.6,-73.97,82.99,36,2,1.01
24,Georgetown,MY,2020-08-05 17:47:16,5.41,100.34,84.2,88,20,4.7
25,Caravelas,BR,2020-08-05 17:48:11,-17.71,-39.25,73.29,68,33,11.03
26,Barrow,US,2020-08-05 17:42:10,71.29,-156.79,44.6,87,75,13.87
27,Tuktoyaktuk,CA,2020-08-05 17:48:11,69.45,-133.04,44.6,93,90,6.93
28,Saldanha,ZA,2020-08-05 17:45:43,-33.01,17.94,50.0,61,0,6.93
29,Great Falls,US,2020-08-05 17:45:11,47.5,-111.3,81.0,34,1,3.36
30,Atuona,PF,2020-08-05 17:46:16,-9.8,-139.03,77.94,71,30,18.92
31,Lavrentiya,RU,2020-08-05 17:46:42,65.58,-171.0,44.47,92,100,8.81
32,Puerto Ayora,EC,2020-08-05 17:46:23,-0.74,-90.35,77.0,65,40,21.92
33,Leiyang,CN,2020-08-05 17:48:12,26.4,112.86,80.87,77,38,8.46
34,Pevek,RU,2020-08-05 17:46:41,69.7,170.31,33.76,97,100,6.46
35,Longyearbyen,SJ,2020-08-05 17:41:44,78.22,15.64,51.8,81,75,4.7
36,Fort Nelson,CA,2020-08-05 17:46:37,58.81,-122.7,66.2,55,75,2.24
37,Lasa,IT,2020-08-05 17:46:40,46.62,10.7,64.4,52,5,4.7
38,Arraial Do Cabo,BR,2020-08-05 17:46:21,-22.97,-42.03,75.2,60,20,10.29
39,Pacific Grove,US,2020-08-05 17:44:19,36.62,-121.92,62.01,92,85,9.46
40,Kapaa,US,2020-08-05 17:48:13,22.08,-159.32,80.6,74,90,16.11
41,Butaritari,KI,2020-08-05 17:46:20,3.07,172.79,82.89,79,6,18.86
42,Araouane,ML,2020-08-05 17:48:13,18.9,-3.53,99.19,33,94,13.96
43,Cape Town,ZA,2020-08-05 17:43:55,-33.93,18.42,53.01,66,20,10.29
44,Roald,NO,2020-08-05 17:47:14,62.58,6.13,63.0,87,75,2.24
45,Port Alfred,ZA,2020-08-05 17:46:28,-33.59,26.89,57.83,85,100,14.97
46,Nelson Bay,AU,2020-08-05 17:47:14,-32.72,152.15,45.0,71,0,18.34
47,Foix,FR,2020-08-05 17:48:13,42.83,1.58,84.99,39,15,3.0
48,Mandali,IQ,2020-08-05 17:48:13,33.75,45.55,84.45,19,0,1.34
49,Pafos,CY,2020-08-05 17:48:13,34.77,32.42,80.6,88,20,12.75
50,Broken Hill,AU,2020-08-05 17:48:13,-31.95,141.43,46.4,42,75,8.05
51,Castro,BR,2020-08-05 17:46:40,-24.79,-50.01,72.68,36,0,3.47
52,Roma,US,2020-08-05 17:46:04,43.21,-75.46,75.0,49,20,14.99
53,Lata,PT,2020-08-05 17:46:50,40.16,-8.33,89.01,40,0,8.99
54,Taoudenni,ML,2020-08-05 17:46:23,22.68,-3.98,114.64,7,39,9.75
55,Allapalli,IN,2020-08-05 17:48:14,19.42,80.07,76.51,92,100,7.52
56,Tilichiki,RU,2020-08-05 17:48:14,60.47,166.1,46.24,79,42,5.86
57,Grindavik,IS,2020-08-05 17:46:31,63.84,-22.43,50.0,93,75,19.46
58,Geraldton,AU,2020-08-05 17:46:49,-28.77,114.6,48.2,93,1,5.82
59,Kahului,US,2020-08-05 17:47:02,20.89,-156.47,80.6,57,40,11.41
60,Hilo,US,2020-08-05 17:46:39,19.73,-155.09,73.4,78,75,3.36
61,Yar-Sale,RU,2020-08-05 17:46:48,66.83,70.83,60.15,57,12,8.3
62,Bera,BD,2020-08-05 17:48:14,24.08,89.62,83.21,82,64,16.84
63,Bluff,NZ,2020-08-05 17:46:15,-46.6,168.33,39.99,97,100,3.0
64,Alice Springs,AU,2020-08-05 17:43:52,-23.7,133.88,51.8,100,75,3.36
65,Lagoa,PT,2020-08-05 17:46:20,39.05,-27.98,70.66,74,76,11.95
66,Karacsond,HU,2020-08-05 17:48:15,47.73,20.03,75.2,73,65,5.82
67,San Cristobal,VE,2020-08-05 17:46:41,7.77,-72.22,89.6,43,40,26.4
68,Takhtamygda,RU,2020-08-05 17:48:15,54.1,123.57,54.37,87,86,2.77
69,Guerrero Negro,MX,2020-08-05 17:46:23,27.98,-114.06,75.4,61,80,9.66
70,Najran,SA,2020-08-05 17:46:51,17.49,44.13,89.6,31,75,16.11
71,Avarua,CK,2020-08-05 17:46:24,-21.21,-159.78,73.4,100,5,11.41
72,Cidreira,BR,2020-08-05 17:46:58,-30.18,-50.21,66.04,64,0,8.14
73,Baculin,PH,2020-08-05 17:48:15,7.45,126.58,79.11,80,100,3.44
74,Iqaluit,CA,2020-08-05 17:46:33,63.75,-68.51,66.2,63,75,16.11
75,Ponta Do Sol,PT,2020-08-05 17:46:34,32.67,-17.1,75.2,73,40,13.87
76,Saint-Philippe,RE,2020-08-05 17:48:15,-21.36,55.77,66.2,77,71,4.7
77,Mahebourg,MU,2020-08-05 17:46:25,-20.41,57.7,68.0,72,40,11.41
78,Hermanus,ZA,2020-08-05 17:46:17,-34.42,19.23,46.99,89,21,6.31
79,Faanui,PF,2020-08-05 17:47:05,-16.48,-151.75,77.92,82,37,14.9
80,Ribeira Grande,PT,2020-08-05 17:46:34,38.52,-28.7,77.0,61,40,12.75
81,Hasaki,JP,2020-08-05 17:46:42,35.73,140.83,75.0,100,20,3.36
82,Port Moresby,PG,2020-08-05 17:48:16,-9.44,147.18,74.88,91,87,5.35
83,Kashan,IR,2020-08-05 17:48:16,33.98,51.44,88.81,19,0,1.63
84,Sola,VU,2020-08-05 17:47:10,-13.88,167.55,75.87,81,20,17.63
85,Forest,US,2020-08-05 17:48:16,37.36,-79.29,88.0,51,20,3.83
86,Saint George,US,2020-08-05 17:42:00,37.1,-113.58,95.0,14,1,6.93
87,Yellowknife,CA,2020-08-05 17:46:08,62.46,-114.35,64.4,77,75,19.46
88,Kastrakion,GR,2020-08-05 17:48:16,39.72,21.62,70.0,62,40,1.01
89,Hambantota,LK,2020-08-05 17:46:32,6.12,81.12,79.21,85,91,14.83
